,Pitcher,Control,Pis,Mus,Covariances
13,"Cabrera, Edward",9.594748774,"[0.3519463,0.6480537]","[[0.01661827,1.45157316],[-0.91509949,2.01528817]]","[[[0.15772144,-0.12305663],[-0.12305663,0.54628987]],[[0.187059,-0.10694899],[-0.10694899,0.47083166]]]"
5,"Ober, Bailey",9.595146337,"[0.39101053,0.60898947]","[[0.1603463,1.53783716],[-0.08246024,2.27070563]]","[[[0.28379909,-0.19992905],[-0.19992905,0.22522478]],[[0.35007709,-0.13243843],[-0.13243843,0.28086531]]]"
29,"Miley, Wade",9.825406583,[1],"[[0.43739454,1.54290323]]","[[[0.23353342,0.05035744],[0.05035744,0.4298752]]]"
18,"Waldichuk, Ken",9.865684116,"[0.17329105,0.5744978,0.25221115]","[[0.31739071,2.74600543],[1.09968098,2.35284214],[-0.10538823,1.31484709]]","[[[0.22019028,0.05190029],[0.05190029,0.07514924]],[[0.273892,0.26497614],[0.26497614,0.69512615]],[[0.21045973,-0.03456546],[-0.03456546,0.24021392]]]"
43,"McClanahan, Shane",9.888680532,"[0.45963927,0.1786681,0.09962882,0.26206381]","[[0.68176498,2.29640346],[0.27661637,0.92193254],[1.26766763,1.68383745],[0.13236803,2.10277307]]","[[[0.25909795,0.24125064],[0.24125064,0.4297826]],[[0.20088712,0.01567895],[0.01567895,0.11248536]],[[0.07475383,0.04527384],[0.04527384,0.14359917]],[[0.18749605,-0.01039834],[-0.01039834,0.55061693]]]"
0,"Irvin, Cole",10.26126104,[1],"[[0.73337778,1.89848889]]","[[[0.28696292,0.10809666],[0.10809666,0.35455072]]]"
30,"Valdez, Framber",10.32775279,"[0.63075331,0.36924669]","[[0.02561622,1.61746234],[0.35325186,2.478887]]","[[[0.23404389,0.11223288],[0.11223288,0.3480767]],[[0.36161149,0.09434065],[0.09434065,0.38568333]]]"
8,"Sánchez, Cristopher",10.35521109,"[0.42781389,0.57218611]","[[1.00301078,1.8717387],[-0.18817893,1.22778242]]","[[[0.28028948,0.08525026],[0.08525026,0.43879495]],[[0.26404829,0.01665195],[0.01665195,0.43856123]]]"
7,"Richards, Trevor",10.57163678,"[0.63308294,0.36691706]","[[-3.41568246e-04,1.11918852e+00],[-5.97029319e-01,2.37987828e+00]]","[[[0.36248922,0.02353156],[0.02353156,0.39204412]],[[0.31130138,0.07593661],[0.07593661,0.35519558]]]"
6,"Suter, Brent",10.58969895,"[0.39625445,0.13272415,0.4710214]","[[0.37697475,2.32149234],[1.15871301,4.23811384],[1.15692211,2.51388711]]","[[[0.14466177,0.07197287],[0.07197287,0.68838996]],[[0.33743478,0.01816863],[0.01816863,0.03171099]],[[0.19030072,0.03776755],[0.03776755,0.47305507]]]"
3,"Giolito, Lucas",10.77316905,"[0.55646709,0.44353291]","[[-0.10171941,1.43944727],[-0.15754432,2.6198849]]","[[[0.27825281,-0.1002371],[-0.1002371,0.56924345]],[[0.27371434,-0.17144751],[-0.17144751,0.55945903]]]"
17,"Blach, Ty",11.14506196,[1],"[[0.49706827,1.74506024]]","[[[0.52820807,0.18210881],[0.18210881,0.31179387]]]"
9,"Holton, Tyler",11.51357523,[1],"[[0.35360169,1.79563559]]","[[[0.41850032,0.10686657],[0.10686657,0.51945949]]]"
14,"Wentz, Joey",11.59113955,[1],"[[0.19632867,1.57342657]]","[[[0.28790116,0.03139615],[0.03139615,0.48467877]]]"
44,"Henry, Tommy",11.60198277,"[0.12503795,0.87496205]","[[0.70302106,3.13035948],[0.51163969,1.8081312]]","[[[0.50222789,0.12976159],[0.12976159,0.0534391]],[[0.48811946,0.15336672],[0.15336672,0.52297819]]]"
42,"Moran, Jovani",11.82689935,"[0.14829363,0.85170637]","[[-0.13902834,3.12399784],[0.27406551,1.4583277]]","[[[0.3663533,0.02204191],[0.02204191,0.07032677]],[[0.49085593,0.18631174],[0.18631174,0.49937622]]]"
15,"Kikuchi, Yusei",13.61298862,"[0.89038879,0.10961121]","[[0.50406452,2.04538772],[-0.33934831,1.05829679]]","[[[0.41010737,0.18653436],[0.18653436,0.66296545]],[[0.04088532,-0.08923091],[-0.08923091,0.20001484]]]"
