,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
76,"Williamson, Brandon",6.106829493,10.6499766,6.857385734,[0.1895124  0.20631162 0.47477947 0.12939652],"[[-0.09160802 3.92237224],[-0.08910516 3.1733916],[-0.34177491 2.26716802],[0.76476513 2.87575868]]","[[[0.34070901 0.12284217],[0.12284217 0.15797201]]:[[0.30574031 0.10117802],[0.10117802 0.05890197]]:[[0.22427779 -0.00463332],[-0.00463332 0.2709493]]:[[0.09576582 0.06933152],[0.06933152 0.17068969]]]"
11,"Rodriguez, Eduardo",6.178205373,8.541459702,6.861969529,[0.13359685 0.20710556 0.14142551 0.51787208],"[[-0.23544489 1.64762921],[0.4454187 3.69242418],[-0.49420382 2.54095257],[0.55012839 2.48080113]]","[[[0.16107086 0.00690691],[0.00690691 0.0702094]]:[[0.36537072 -0.01838922],[-0.01838922 0.10686756]]:[[0.10075155 -0.02425927],[-0.02425927 0.14923383]]:[[0.1790357 -0.01012164],[-0.01012164 0.28927214]]]"
127,"Detmers, Reid",6.060768288,9.935047275,6.863665386,[0.29581762 0.37048266 0.13126025 0.20243947],"[[0.40248552 3.20721708],[-0.42855118 3.03960183],[0.09014468 4.03850302],[-0.29221555 2.17815883]]","[[[0.17220193 -0.01439905],[-0.01439905 0.1798214]]:[[0.19231883 -0.03091475],[-0.03091475 0.2372699]]:[[0.23616486 0.00780496],[0.00780496 0.08897917]]:[[0.30972177 0.00147561],[0.00147561 0.12474677]]]"
118,"Miller, Bryce",5.960059015,9.665897516,6.885780058,[0.35036214 0.29222283 0.35741503],"[[0.24920792 2.10833537],[0.56965426 2.88559623],[-0.18529616 3.37032828]]","[[[0.25891758 -0.02309754],[-0.02309754 0.1672615]]:[[0.18318896 -0.01557358],[-0.01557358 0.1190721]]:[[0.19887522 0.04812301],[0.04812301 0.21517187]]]"
0,"Irvin, Cole",5.411708014,9.21446067,6.934979048,[0.20578735 0.28259653 0.51161612],"[[-0.57159048 2.94763356],[0.22190047 3.48882551],[0.35226109 2.51888653]]","[[[0.08246239 0.09304328],[0.09304328 0.36953468]]:[[0.21639885 0.03903757],[0.03903757 0.16172258]]:[[0.22302305 -0.00684958],[-0.00684958 0.16849992]]]"
68,"Wentz, Joey",6.09300498,8.883381475,6.958377257,[0.20910749 0.40787976 0.26757625 0.1154365 ],"[[0.56659904 2.6630419],[-0.36528509 3.20921442],[-0.3073534 2.12447932],[0.8711264 3.61482825]]","[[[0.1501818 -0.09409658],[-0.09409658 0.17073536]]:[[0.29047685 0.0810299],[0.0810299 0.28880416]]:[[0.18030159 0.03312143],[0.03312143 0.17682987]]:[[0.06357604 -0.05214595],[-0.05214595 0.1676883]]]"
115,"López, Pablo",5.394795926,9.20138854,6.985726557,[0.44083413 0.35187009 0.20729578],"[[-0.26825277 3.28739877],[-0.21787373 2.43531535],[0.44889394 2.2807903]]","[[[0.25426938 -0.01841004],[-0.01841004 0.14419815]]:[[0.3270141 0.18614611],[0.18614611 0.20177623]]:[[0.17154263 -0.05834627],[-0.05834627 0.18370006]]]"
19,"Javier, Cristian",5.889589074,9.643670022,6.989923499,[0.32580292 0.20447252 0.36720337 0.10252119],"[[0.19257196 3.76748191],[-0.22264238 2.79308448],[0.39738143 2.6269364],[-0.61634356 3.47632239]]","[[[0.28133109 -0.04441662],[-0.04441662 0.18818552]]:[[0.2512973 0.08181598],[0.08181598 0.14050851]]:[[0.17935881 0.00858536],[0.00858536 0.2455338]]:[[0.05887786 -0.07088283],[-0.07088283 0.14340036]]]"
75,"Rodón, Carlos",5.718719044,9.455773186,6.993570061,[0.44021326 0.48748045 0.07230629],"[[-0.05754284 2.46415711],[0.36789427 3.30407726],[0.58498989 4.26222363]]","[[[0.26887596 -0.0744418],[-0.0744418 0.18199091]]:[[0.23579672 -0.04873331],[-0.04873331 0.15892281]]:[[0.28169561 -0.03060558],[-0.03060558 0.01225554]]]"
123,"Nola, Aaron",5.780174068,9.04818158,6.997799789,[0.14508239 0.18947201 0.15906907 0.50637653],"[[0.40466514 1.77117551],[-0.20022402 2.85565298],[0.27833984 2.79239771],[0.69777899 2.6294767]]","[[[0.28114248 -0.02119611],[-0.02119611 0.04225333]]:[[0.11245689 0.11898418],[0.11898418 0.29398832]]:[[0.30411176 -0.33074459],[-0.33074459 0.43029592]]:[[0.15025309 0.0399977],[0.0399977 0.29866286]]]"
18,"Montero, Rafael",4.957100542,8.578501971,7.006033097,[0.73955305 0.14529816 0.11514879],"[[0.27357873 3.08278134],[1.17719903 2.61058167],[0.37151752 2.00406021]]","[[[0.16288378 -0.05499099],[-0.05499099 0.31552616]]:[[0.02380408 0.00152461],[0.00152461 0.07172411]]:[[0.30410496 -0.03041391],[-0.03041391 0.00566029]]]"
17,"Nelson, Ryne",6.763081016,9.310077832,7.026228491,[0.14367514 0.4841056  0.37221926],"[[-0.24254003 3.72149004],[-0.47879324 2.70235117],[0.35369397 2.74731085]]","[[[0.22918426 -0.05925101],[-0.05925101 0.09739809]]:[[0.18974121 -0.01846415],[-0.01846415 0.21472207]]:[[0.14149165 -0.02984058],[-0.02984058 0.35042851]]]"
94,"Varland, Louie",5.498082674,9.087300722,7.044244523,[0.35022376 0.64977624],"[[0.74128438 2.35612438],[-0.13232647 3.0684619]]","[[[0.18235132 0.07318573],[0.07318573 0.21726282]]:[[0.20314335 0.01726006],[0.01726006 0.23626684]]]"
73,"Pivetta, Nick",5.687923423,9.780833807,7.103808017,[0.22807329 0.13742409 0.36599388 0.07635198 0.19215676],"[[-0.12722722 2.63460321],[0.34098987 1.94797822],[-0.28669142 3.56114787],[0.55226134 2.9251542],[-0.23933404 3.09184507]]","[[[0.16016512 0.05951179],[0.05951179 0.12326664]]:[[0.19067312 0.04813976],[0.04813976 0.12412299]]:[[0.2187509 0.09237855],[0.09237855 0.21516074]]:[[0.16172261 -0.14747496],[-0.14747496 0.13861038]]:[[0.24377554 -0.32779559],[-0.32779559 0.55422597]]]"
53,"Rom, Drew",5.669302921,9.683679823,7.104782819,[0.72274164 0.1883062  0.08895216],"[[0.19920734 2.43445036],[ 0.83410364 3.74109283],[-0.49192562 3.01807364]]","[[[0.25111991 0.13234404],[0.13234404 0.27697933]]:[[0.15547945 -0.05448707],[-0.05448707 0.12297185]]:[[0.03067507 0.01726646],[0.01726646 0.04394538]]]"
4,"Sears, JP",6.505131887,9.078236114,7.111987113,[0.08634825 0.1116871  0.09973387 0.30076928 0.40146149],"[[-1.1522883 2.63815385],[0.84898299 3.29318219],[-0.3065971 3.87619204],[0.15131907 2.20817727],[-0.23581955 2.90385027]]","[[[0.04968943 -0.05025066],[-0.05025066 0.40781466]]:[[0.07224082 0.01733635],[0.01733635 0.14325332]]:[[0.1962042 -0.00797314],[-0.00797314 0.05092801]]:[[0.34467497 0.05913598],[0.05913598 0.22013914]]:[[0.19592988 0.02930203],[0.02930203 0.24485606]]]"
63,"Bradford, Cody",5.805002764,9.542092327,7.145104155,[0.38573351 0.17926539 0.43500109],"[[-0.05263999 2.19957133],[0.71876861 3.08810692],[-0.3265278 3.13150531]]","[[[0.26838383 0.05112944],[0.05112944 0.1141903]]:[[0.11337799 0.02352997],[0.02352997 0.44213031]]:[[0.17587508 0.08650742],[0.08650742 0.29070397]]]"
86,"Wheeler, Zack",6.015071667,8.629465102,7.148844579,[0.4855087 0.5144913],"[[0.50822775 2.32807133],[0.1333871 3.19548444]]","[[[0.28138605 0.00260666],[0.00260666 0.16104222]]:[[0.31207343 -0.04313414],[-0.04313414 0.16660984]]]"
74,"Lyles, Jordan",5.414751854,9.815968063,7.177094892,[0.29846959 0.34613162 0.35539878],"[[-0.02782187 2.20020496],[0.70324326 2.46472393],[-0.14517906 3.25996284]]","[[[0.18257417 -0.00149392],[-0.00149392 0.15188666]]:[[0.17458425 -0.07053794],[-0.07053794 0.35009853]]:[[0.21994308 -0.04872135],[-0.04872135 0.21178021]]]"
66,"López, Reynaldo",5.568761251,9.011451495,7.218422141,[0.11482468 0.16758554 0.49416437 0.22342541],"[[-0.70990479 3.04004106],[0.12023644 2.3978813],[-0.03869832 3.05349984],[-0.67030588 2.18740841]]","[[[0.17812874 -0.25697383],[-0.25697383 0.39715694]]:[[0.17084804 -0.18783941],[-0.18783941 0.22832026]]:[[0.22058226 -0.07845155],[-0.07845155 0.29312899]]:[[0.14930094 -0.1104594],[-0.1104594 0.14479065]]]"
91,"Sale, Chris",6.639853994,10.57719855,7.232567305,[0.08246378 0.17439089 0.34880538 0.39433995],"[[-0.98381604 2.32719256],[1.10192976 3.3810743],[0.23513095 2.28649547],[-0.03799137 3.23778658]]","[[[0.06734186 -0.05062744],[-0.05062744 0.25199567]]:[[0.10465766 -0.00076229],[-0.00076229 0.14720589]]:[[0.31558061 -0.01252084],[-0.01252084 0.22926837]]:[[0.23165522 -0.00173486],[-0.00173486 0.25993606]]]"
106,"Abbott, Andrew",6.372063338,10.87896064,7.247873742,[0.29500507 0.49291891 0.0926007  0.07300431 0.04647101],"[[0.31327421 1.91864527],[0.19351402 2.94505491],[0.68674834 4.05483337],[1.45981657 3.07327564],[-0.81619572 2.06822994]]","[[[0.22477235 0.01564351],[0.01564351 0.20298851]]:[[0.26805657 0.01151675],[0.01151675 0.26787833]]:[[0.11706916 -0.03544733],[-0.03544733 0.06786755]]:[[0.0177833 0.02065095],[0.02065095 0.52251007]]:[[0.00883881 -0.01870273],[-0.01870273 0.16990499]]]"
10,"De Los Santos, Enyel",6.059544559,9.764797743,7.27953726,[0.08933899 0.36516005 0.54550096],"[[0.61626791 1.5547943],[-0.60178284 2.65839994],[0.40646036 2.59003083]]","[[[0.19116835 -0.05385079],[-0.05385079 0.01942924]]:[[0.16344749 0.02762569],[0.02762569 0.29713003]]:[[0.31852633 -0.05712215],[-0.05712215 0.20665803]]]"
