,Pitcher,Control,Pis,Mus,Covariances
59,"Ray, Robbie",8.76691270258316,[0.19706216 0.35388616 0.44905168],"[[-1.01132832  0.52346676]
 [ 0.08075859  2.4851631 ]
 [-0.45970062  1.44249703]]","[[[ 0.21938076 -0.07776399]
  [-0.07776399  0.20845957]]

 [[ 0.22062366  0.00775197]
  [ 0.00775197  0.3087038 ]]

 [[ 0.34455305 -0.10531308]
  [-0.10531308  0.32219228]]]"
88,"Rodón, Carlos",8.902546440724233,[0.15782607 0.28194413 0.5602298 ],"[[-1.17591158  0.53107868]
 [ 0.28031249  2.5628918 ]
 [-0.43284388  1.48961233]]","[[[ 0.09137684  0.01720252]
  [ 0.01720252  0.18673017]]

 [[ 0.18007381  0.01345203]
  [ 0.01345203  0.34139097]]

 [[ 0.20622019 -0.0065872 ]
  [-0.0065872   0.38809894]]]"
23,"Acevedo, Domingo",8.927149426080911,[0.36879168 0.63120832],"[[0.77189111 1.20607312]
 [0.22416042 2.30239319]]","[[[ 0.27951724  0.00578314]
  [ 0.00578314  0.18097388]]

 [[ 0.36455728 -0.09368282]
  [-0.09368282  0.28539885]]]"
76,"Castillo, Luis",8.928255584298231,[0.44055445 0.55944555],"[[0.09875843 2.45987628]
 [0.77807215 1.47941353]]","[[[ 0.33091642 -0.0194496 ]
  [-0.0194496   0.1527207 ]]

 [[ 0.40159147 -0.01225813]
  [-0.01225813  0.2163477 ]]]"
67,"McClanahan, Shane",8.940465170162595,[0.75449303 0.24550697],"[[-0.18833041  2.31165064]
 [-0.68302999  1.01248188]]","[[[ 0.25314622 -0.02830957]
  [-0.02830957  0.26899303]]

 [[ 0.19322398  0.04377144]
  [ 0.04377144  0.16112441]]]"
44,"McKenzie, Triston",8.956359499724787,[0.29673769 0.05028134 0.10369693 0.54928404],"[[ 1.00986464  1.74175859]
 [-0.2106906   3.95172612]
 [ 0.53074956  0.80871732]
 [ 0.30531636  2.54288526]]","[[[ 0.11337826  0.07362434]
  [ 0.07362434  0.22550496]]

 [[ 0.02290674 -0.00712953]
  [-0.00712953  0.01113331]]

 [[ 0.19191934 -0.01696348]
  [-0.01696348  0.04421132]]

 [[ 0.1193521   0.07008268]
  [ 0.07008268  0.45029941]]]"
40,"Peterson, David",8.964308964838924,[0.13797352 0.26923623 0.08354705 0.5092432 ],"[[ 0.05555756  1.64343062]
 [ 0.22588797  2.07027025]
 [-0.524656    2.49149182]
 [-0.99285957  1.15163462]]","[[[ 0.26051786 -0.27071256]
  [-0.27071256  0.28990471]]

 [[ 0.21074765  0.13290436]
  [ 0.13290436  0.34026914]]

 [[ 0.02559269  0.03706568]
  [ 0.03706568  0.14405997]]

 [[ 0.30920379  0.04225372]
  [ 0.04225372  0.26679268]]]"
75,"Scherzer, Max",8.988909086721735,[0.52661638 0.47338362],"[[0.9192074  1.41969865]
 [0.17434226 2.22330002]]","[[[ 0.27775736 -0.05071912]
  [-0.05071912  0.31609387]]

 [[ 0.28675912 -0.0730714 ]
  [-0.0730714   0.23622002]]]"
22,"Heaney, Andrew",9.017479557840034,[0.49013002 0.50986998],"[[-1.07425783  1.59600763]
 [-0.10755216  1.87700608]]","[[[0.18780822 0.0045225 ]
  [0.0045225  0.29309491]]

 [[0.21619578 0.13112982]
  [0.13112982 0.27594135]]]"
96,"Montas, Frankie",9.038984341781212,[0.30661933 0.69338067],"[[-0.00993016  2.04978069]
 [ 0.96048785  1.51548874]]","[[[ 0.06792207 -0.026907  ]
  [-0.026907    0.34180841]]

 [[ 0.25455006 -0.11622314]
  [-0.11622314  0.37966661]]]"
60,"Contreras, Roansy",9.060565162042199,[0.28205545 0.41290728 0.30503727],"[[1.30208342 0.76993729]
 [0.88205759 2.24178924]
 [0.33280186 1.5441078 ]]","[[[ 0.15043187 -0.02010882]
  [-0.02010882  0.22714418]]

 [[ 0.35752629 -0.2373272 ]
  [-0.2373272   0.41431263]]

 [[ 0.10027226 -0.11798193]
  [-0.11798193  0.38927339]]]"
73,"Junis, Jakob",9.06204955693438,[0.55239621 0.13039757 0.31720623],"[[0.54061927 1.65234852]
 [1.57793067 1.43159608]
 [0.25173867 2.66656383]]","[[[ 0.4322866  -0.19502433]
  [-0.19502433  0.23857517]]

 [[ 0.12348    -0.00712928]
  [-0.00712928  0.2392526 ]]

 [[ 0.30231943 -0.17041171]
  [-0.17041171  0.19408398]]]"
34,"Giolito, Lucas",9.06286182480959,[0.48753595 0.51246405],"[[0.94506102 1.21337565]
 [0.41006961 2.22473902]]","[[[0.17641943 0.00795505]
  [0.00795505 0.31614034]]

 [[0.1385011  0.05459876]
  [0.05459876 0.40138854]]]"
35,"Winder, Josh",9.113745850345015,[0.44060141 0.55939859],"[[0.58952402 2.50957623]
 [0.76937352 1.28174695]]","[[[ 0.19445736 -0.06751332]
  [-0.06751332  0.32692676]]

 [[ 0.3024638  -0.11787197]
  [-0.11787197  0.250541  ]]]"
69,"Hutchison, Drew",9.136200351077187,[0.55770966 0.44229034],"[[0.14588756 1.95143266]
 [0.98558468 1.26611801]]","[[[ 0.10330277 -0.0412425 ]
  [-0.0412425   0.56352566]]

 [[ 0.0883065  -0.01810433]
  [-0.01810433  0.45538703]]]"
83,"Manoah, Alek",9.154036533604492,[0.46678763 0.53321237],"[[-0.00809132  2.17644516]
 [ 1.03736165  1.40262248]]","[[[ 0.2144784  -0.06349514]
  [-0.06349514  0.2215731 ]]

 [[ 0.30447705 -0.0377411 ]
  [-0.0377411   0.25757011]]]"
17,"Springs, Jeffrey",9.171816339697942,[0.58880387 0.41119613],"[[-0.42098218  1.93867029]
 [-0.18778463  3.12080654]]","[[[ 0.21870255 -0.01646454]
  [-0.01646454  0.3216265 ]]

 [[ 0.30039163  0.02530074]
  [ 0.02530074  0.25094452]]]"
30,"Castillo, Diego",9.190507988719535,[0.06461314 0.32094183 0.61444504],"[[1.20567045 2.76830915]
 [1.20909944 1.23398981]
 [0.28454415 2.38516443]]","[[[ 0.28820994 -0.09355233]
  [-0.09355233  0.03041903]]

 [[ 0.30895396 -0.05255125]
  [-0.05255125  0.15784706]]

 [[ 0.37667903 -0.07759349]
  [-0.07759349  0.21354328]]]"
3,"Kikuchi, Yusei",9.21980737653841,[0.53463406 0.46536594],"[[ 0.25976911  2.20154323]
 [-0.6082827   1.61882985]]","[[[0.13611044 0.01866459]
  [0.01866459 0.4751883 ]]

 [[0.13121508 0.00497427]
  [0.00497427 0.39954522]]]"
99,"Archer, Chris",9.221648096068336,[0.13106217 0.19129078 0.67764705],"[[1.03624355 2.78399389]
 [1.05949455 0.95792254]
 [0.14656281 2.17720028]]","[[[ 0.09487352 -0.06405238]
  [-0.06405238  0.22186948]]

 [[ 0.10201131  0.00047252]
  [ 0.00047252  0.16844359]]

 [[ 0.21909    -0.12139202]
  [-0.12139202  0.41768413]]]"
29,"Muñoz, Andrés",9.260366383617582,[0.26538106 0.73461894],"[[-0.17957447  2.06549062]
 [ 0.95683606  1.77021597]]","[[[ 0.13998469 -0.06622203]
  [-0.06622203  0.431861  ]]

 [[ 0.27342624 -0.06516696]
  [-0.06516696  0.31296273]]]"
90,"Crowe, Wil",9.268884276471498,[0.38627267 0.61372733],"[[0.17489213 1.96913004]
 [0.91758553 1.19402204]]","[[[ 0.13140759 -0.02468351]
  [-0.02468351  0.39844236]]

 [[ 0.14821429 -0.06825332]
  [-0.06825332  0.43256306]]]"
19,"Plesac, Zach",9.297968651310747,[0.52860912 0.47139088],"[[0.49262867 2.55918062]
 [1.10952772 1.53044621]]","[[[ 0.21219718 -0.0035402 ]
  [-0.0035402   0.33790561]]

 [[ 0.21571061  0.05913354]
  [ 0.05913354  0.39813844]]]"
57,"Snell, Blake",9.311601641952244,[0.39091833 0.60908167],"[[-0.32359627  2.35361097]
 [-0.70076906  0.98794232]]","[[[0.15161525 0.13105159]
  [0.13105159 0.33568466]]

 [[0.27801756 0.16352438]
  [0.16352438 0.38522885]]]"
8,"Givens, Mychal",9.414118536675106,[0.71792728 0.28207272],"[[-0.09683559  2.03898274]
 [ 1.33941913  1.55101894]]","[[[ 0.48325878 -0.12230002]
  [-0.12230002  0.22908262]]

 [[ 0.19986307 -0.02597971]
  [-0.02597971  0.17682636]]]"
9,"Barria, Jaime",9.489916051603982,[0.39603344 0.13491772 0.23596726 0.23308157],"[[0.31082    2.36672422]
 [1.20984315 1.39192257]
 [0.32603399 2.26080404]
 [0.01244711 1.82838307]]","[[[ 0.31845859  0.03542215]
  [ 0.03542215  0.20484279]]

 [[ 0.08201829  0.05897823]
  [ 0.05897823  0.10935345]]

 [[ 0.3885899  -0.42500739]
  [-0.42500739  0.52365308]]

 [[ 0.20526456 -0.06703712]
  [-0.06703712  0.32535092]]]"
25,"Stephenson, Robert",9.49216118845603,[0.54336379 0.45663621],"[[0.95872553 1.21974842]
 [0.11747113 2.52185482]]","[[[ 0.11705654 -0.00472403]
  [-0.00472403  0.40996498]]

 [[ 0.2169439  -0.14036965]
  [-0.14036965  0.56354881]]]"
10,"Oviedo, Johan",9.494833739035457,[0.76775689 0.09266964 0.13957348],"[[ 0.48649892  2.11158278]
 [ 1.45566524  0.95248585]
 [-0.40649352  2.46726309]]","[[[ 0.19575829 -0.04558712]
  [-0.04558712  0.40173457]]

 [[ 0.02438425  0.02146315]
  [ 0.02146315  0.05574637]]

 [[ 0.02622388  0.01126385]
  [ 0.01126385  0.39793047]]]"
84,"Fried, Max",9.526028324849005,[0.47905046 0.52094954],"[[-0.02448428  2.61409457]
 [-0.70367933  1.54293847]]","[[[ 0.26419311 -0.00715791]
  [-0.00715791  0.34125752]]

 [[ 0.19536958  0.02052026]
  [ 0.02052026  0.38172818]]]"
36,"Garrett, Braxton",9.532007575248318,[0.41661595 0.58338405],"[[-1.04495164  1.2026179 ]
 [ 0.02209849  1.94212108]]","[[[0.12766969 0.12322033]
  [0.12322033 0.50262398]]

 [[0.16932091 0.1652859 ]
  [0.1652859  0.50192182]]]"
47,"Sandoval, Patrick",9.55289931501743,[0.74124063 0.25875937],"[[-0.57959988  1.7730504 ]
 [ 0.01835013  2.97838901]]","[[[ 0.2800526  -0.00768407]
  [-0.00768407  0.38454779]]

 [[ 0.23359083  0.00802652]
  [ 0.00802652  0.2273823 ]]]"
70,"Freeland, Kyle",9.606065967719559,[0.41920853 0.58079147],"[[ 0.76271346  2.15991261]
 [-0.81511167  2.16590218]]","[[[0.20606967 0.07115006]
  [0.07115006 0.39051063]]

 [[0.38274622 0.12395333]
  [0.12395333 0.34943123]]]"
