,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
63,"Luzardo, Jesús",6.481742552,9.809315269,7.490679631,[0.16755841 0.13640618 0.12664695 0.56938845],"[[0.3607553 2.19034343],[0.74313584 2.96600645],[-1.53279138 0.24708218],[-0.48513678 1.35400311]]","[[[0.13855799 -0.08197811],[-0.08197811 0.11628121]]:[[0.17141906 -0.05471334],[-0.05471334 0.15082662]]:[[0.05699386 0.04551629],[0.04551629 0.21931978]]:[[0.31793474 0.10247622],[0.10247622 0.4173737]]]"
72,"Bieber, Shane",5.1442902,10.74187443,7.524066899,[0.47464495 0.52535505],"[[1.02220446 0.92861578],[0.27634123 2.18425672]]","[[[0.13080918 -0.04226457],[-0.04226457 0.33236882]]:[[0.15466196 -0.06581333],[-0.06581333 0.39914542]]]"
87,"Webb, Logan",5.671237856,9.42623094,7.598660962,[0.38633996 0.61366004],"[[0.53951987 2.21623837],[1.349371 1.39829853]]","[[[0.35043048 -0.02058623],[-0.02058623 0.20671819]]:[[0.336793 -0.08585331],[-0.08585331 0.20717375]]]"
56,"Cease, Dylan",6.413268495,11.68243404,7.620586678,[0.27028533 0.25988613 0.21157814 0.25825041],"[[0.3143555 1.69370835],[0.70652757 0.82612585],[0.39757133 2.6514924],[1.3432561 0.8959953]]","[[[0.16158497 -0.08348727],[-0.08348727 0.22273176]]:[[0.14852715 0.0493486],[0.0493486 0.2379399]]:[[0.28917548 -0.06149117],[-0.06149117 0.24751802]]:[[0.11887022 -0.03898968],[-0.03898968 0.56611684]]]"
53,"Castillo, Luis",6.072263189,10.41333046,7.62543273,[0.30170626 0.37928431 0.31900943],"[[1.17195493 1.1801755],[0.16494659 1.84689247],[1.11683716 2.05523617]]","[[[0.13971865 -0.06448051],[-0.06448051 0.12020207]]:[[0.21679251 -0.09908385],[-0.09908385 0.33434259]]:[[0.353798 -0.17487655],[-0.17487655 0.30752266]]]"
112,"Gonsolin, Tony",5.494036303,9.39295322,7.635938057,[0.2880089 0.7119911],"[[0.91784763 1.28210017],[0.72764005 2.32957423]]","[[[0.31636225 -0.06142612],[-0.06142612 0.19821773]]:[[0.2068313 -0.11233268],[-0.11233268 0.24547968]]]"
71,"Glasnow, Tyler",6.259608141,9.862298673,7.655103761,[0.46113419 0.37074991 0.16811591],"[[0.22068423 2.5389616],[0.98611757 1.4970339],[0.37584542 1.82144784]]","[[[0.16787543 -0.05546971],[-0.05546971 0.31252337]]:[[0.09240461 -0.0990333],[-0.0990333 0.47903349]]:[[0.20069305 0.10514891],[0.10514891 0.33246904]]]"
13,"Seabold, Connor",6.085277315,10.3176998,7.664273005,[0.44791002 0.55208998],"[[0.04652104 2.58778999],[0.90323631 1.59229071]]","[[[0.16099109 -0.06890027],[-0.06890027 0.26890294]]:[[0.27620468 -0.12212954],[-0.12212954 0.34927502]]]"
49,"Strider, Spencer",5.643037857,10.62363079,7.664472094,[0.17179351 0.50931658 0.31888991],"[[1.52862203 0.82623936],[0.5280579 2.08436985],[0.49662627 1.0574844]]","[[[0.07809533 -0.02637487],[-0.02637487 0.23981548]]:[[0.23626992 -0.08502321],[-0.08502321 0.34792953]]:[[0.2179808 -0.16898295],[-0.16898295 0.32787192]]]"
92,"Peralta, Freddy",6.838324368,10.9701541,7.66601959,[0.39068031 0.40380286 0.20551683],"[[-0.2737465 2.17356397],[0.8479866 1.02458364],[0.74505847 1.91775549]]","[[[0.27537978 -0.01072598],[-0.01072598 0.24993358]]:[[0.32057575 -0.06535451],[-0.06535451 0.24312818]]:[[0.12924365 0.03660175],[0.03660175 0.10560416]]]"
85,"Detmers, Reid",6.890788323,11.14736842,7.704617452,[0.33741321 0.36250296 0.30008383],"[[-0.81526374 1.10497138],[-0.00472764 2.72976719],[-0.47955263 1.88307369]]","[[[0.24557685 0.04195765],[0.04195765 0.31890451]]:[[0.19651039 0.05751444],[0.05751444 0.26869174]]:[[0.39112063 -0.00208368],[-0.00208368 0.15209923]]]"
33,"Curry, Xzavion",5.627828792,9.548603662,7.723588147,[0.30097481 0.69902519],"[[0.54865735 1.22174738],[0.5213126 2.45707769]]","[[[0.24954574 -0.07484292],[-0.07484292 0.16671166]]:[[0.2067342 -0.11910085],[-0.11910085 0.35765997]]]"
67,"Gilbert, Logan",6.37203774,9.254573615,7.73462544,[0.30788436 0.44348727 0.24862837],"[[0.16383647 1.12732415],[0.16706076 2.22846798],[-0.00911485 3.22903963]]","[[[0.31547603 -0.14371138],[-0.14371138 0.28579562]]:[[0.37102399 -0.16502383],[-0.16502383 0.20090264]]:[[0.23994116 -0.05729863],[-0.05729863 0.13106432]]]"
75,"Oviedo, Johan",6.496365584,10.96131332,7.757852908,[0.18934707 0.57655562 0.23409731],"[[1.13122486 1.28044135],[0.31206702 1.99547787],[-0.42352716 2.7669319]]","[[[0.11671393 0.02989181],[0.02989181 0.20891896]]:[[0.2052381 0.02728117],[0.02728117 0.40687541]]:[[0.14683003 -0.04602898],[-0.04602898 0.33609699]]]"
23,"Greene, Hunter",6.688681522,10.09274844,7.758921957,[0.47567724 0.52432276],"[[0.76221351 1.27295435],[0.12033018 2.29022201]]","[[[0.33139235 -0.01372772],[-0.01372772 0.20279898]]:[[0.26130542 -0.04688613],[-0.04688613 0.23579267]]]"
26,"Sánchez, Cristopher",6.895844361,10.1915339,7.787337798,[0.46632226 0.53367774],"[[0.31200651 2.02261016],[-0.83805251 1.73993812]]","[[[0.18896056 -0.07414814],[-0.07414814 0.38595899]]:[[0.24992866 0.0646236],[0.0646236 0.33122986]]]"
88,"Snell, Blake",5.760051567,9.964019429,7.834113779,[0.32096539 0.67903461],"[[-0.58100869 1.94790864],[-0.86738593  0.77353568]]","[[[0.15006252 0.05809429],[0.05809429 0.14376573]]:[[0.21477177 0.10237487],[0.10237487 0.45698567]]]"
35,"Scott, Tanner",6.416107646,9.463751053,7.907513559,[0.49762737 0.50237263],"[[-0.74658499 1.22628538],[-0.31525506 2.16322211]]","[[[0.32137759 0.0429737],[0.0429737 0.19008437]]:[[0.29134932 0.07018932],[0.07018932 0.19602508]]]"
32,"Beck, Tristan",6.384615744,9.596850177,7.914863505,[0.24281215 0.75718785],"[[0.80533632 1.38628589],[0.52960119 2.47844774]]","[[[0.30681374 0.06227874],[ 0.06227874 0.15063129]]:[[0.26079766 -0.06404826],[-0.06404826 0.35305367]]]"
40,"Hamilton, Ian",6.160288282,10.00348125,7.940818429,[0.37693562 0.62306438],"[[-0.07389576 2.0253786],[0.78333126 1.42338304]]","[[[0.1542186 -0.00374214],[-0.00374214 0.2314741]]:[[0.19872614 0.00275561],[0.00275561 0.45758444]]]"
1,"Wells, Tyler",5.663607736,9.768341011,7.941931101,[0.40986408 0.59013592],"[[1.05423995 1.27254756],[0.70559937 2.38904651]]","[[[0.23021327 -0.04529827],[-0.04529827 0.30177581]]:[[0.22038707 -0.07471532],[-0.07471532 0.31472856]]]"
97,"Pérez, Eury",5.611795457,9.593921447,7.995531384,[0.84524213 0.15475787],"[[0.10009293 1.70305239],[1.36311515 0.84921946]]","[[[0.24596624 -0.08250484],[-0.08250484 0.35601018]]:[[0.06570963 -0.04930383],[-0.04930383 0.16093996]]]"
105,"Scherzer, Max",6.437614766,10.20661873,8.000673261,[0.27181729 0.72818271],"[[1.24180367 1.2466952],[0.27058183 1.98917273]]","[[[0.10168212 -0.00515154],[-0.00515154 0.2033259]]:[[0.26008506 -0.09346668],[-0.09346668 0.35005672]]]"
7,"De Los Santos, Enyel",6.606671506,10.20487959,8.034344246,[0.42924255 0.57075745],"[[0.58627234 1.16166107],[-0.4508236 1.75575677]]","[[[0.20317836 -0.06505369],[-0.06505369 0.31775329]]:[[0.22215405 -0.07362008],[-0.07362008 0.33644662]]]"
34,"Vasquez, Andrew",5.679147704,10.30671627,8.038301779,[0.32858771 0.67141229],"[[-0.72430975 1.77603513],[0.18252921 2.70016664]]","[[[0.32770981 0.06420251],[0.06420251 0.14605436]]:[[0.37433214 0.11255521],[0.11255521 0.23342626]]]"
110,"Gomber, Austin",6.160142982,10.05063916,8.038851363,[0.16291606 0.63349168 0.09346932 0.11012294],"[[-0.42578326 2.46499994],[-0.40291952 2.60931636],[-0.27458047 1.53567394],[-1.19959571 1.53641828]]","[[[0.11060988 0.08034818],[0.08034818 0.06160159]]:[[0.25842284 0.02172593],[0.02172593 0.40848172]]:[[0.13376044 -0.08107494],[-0.08107494 0.07187881]]:[[0.07244104 -0.0623375],[-0.0623375 0.16003671]]]"
101,"Peguero, Elvis",5.980785422,10.14361166,8.070752939,[0.7652124  0.1541563  0.08063129],"[[0.36818504 1.34888048],[1.5220701 1.47233289],[-0.27263806 2.5963152]]","[[[0.34497261 -0.09967067],[-0.09967067 0.28585757]]:[[0.0545305 -0.0164235],[-0.0164235 0.32805811]]:[[0.15923484 0.03199289],[0.03199289 0.03834326]]]"
115,"Contreras, Roansy",5.372821097,10.38942863,8.089531844,[0.35785692 0.53308321 0.10905987],"[[0.62722038 1.28055754],[0.64888919 2.41958823],[1.48589226 1.37485009]]","[[[0.33160415 -0.19929427],[-0.19929427 0.25772597]]:[[0.30404149 -0.25989591],[-0.25989591 0.37694875]]:[[0.03506974 0.06361144],[0.06361144 0.12920394]]]"
27,"Romano, Jordan",6.393761264,10.54313061,8.133684657,[0.61234543 0.38765457],"[[0.75179164 1.39110478],[-0.23470247 2.23791001]]","[[[0.15990463 -0.05179215],[-0.05179215 0.43458261]]:[[0.1204913 0.02174746],[0.02174746 0.43782648]]]"
95,"Scholtens, Jesse",5.53326762,9.676279162,8.148318501,[0.70942241 0.29057759],"[[0.58810712 1.95941102],[0.79369801 0.93271577]]","[[[0.30211346 -0.14742891],[-0.14742891 0.37327705]]:[[0.30661709 -0.03731479],[-0.03731479 0.06910612]]]"
51,"Heaney, Andrew",6.561802213,10.54942894,8.161082502,[0.52291807 0.25455919 0.22252274],"[[-0.09075993 1.85737274],[-1.2748527 1.42217046],[-0.11492024 2.46454061]]","[[[0.33249547 0.24730974],[0.24730974 0.42060448]]:[[0.10684567 0.08170792],[0.08170792 0.18431293]]:[[0.3038808 -0.02751545],[-0.02751545 0.19351305]]]"
19,"Lorenzen, Michael",6.073905981,10.35288721,8.180154207,[0.70091972 0.29908028],"[[0.16183515 2.1985457],[0.85873167 1.0624417]]","[[[0.25361767 -0.08649799],[-0.08649799 0.38090362]]:[[0.17178595 0.07843093],[0.07843093 0.24660829]]]"
103,"Freeland, Kyle",6.143093272,11.11915411,8.190358883,[0.45997822 0.54002178],"[[0.6674135 2.61005398],[-0.6650746 2.34886396]]","[[[0.27498712 0.03706477],[0.03706477 0.32069423]]:[[0.23708014 0.07078975],[0.07078975 0.31194784]]]"
20,"Soto, Gregory",5.854152026,11.11097369,8.346126552,[0.46219016 0.53780984],"[[-0.72004779 1.04103195],[0.11229609 2.14384381]]","[[[0.26646773 0.00530399],[0.00530399 0.37943329]]:[[0.29446578 0.05159683],[0.05159683 0.32354055]]]"
102,"Santos, Gregory",6.349913591,9.590599258,8.352181192,[0.39427772 0.60572228],"[[1.12643263 2.07338206],[0.25069048 1.89185372]]","[[[0.18928415 -0.13327296],[-0.13327296 0.37433596]]:[[0.21584658 -0.12247441],[-0.12247441 0.39798199]]]"
10,"Kirby, George",5.979831495,10.12851657,8.388981385,[0.17253637 0.82746363],"[[-0.1444215 2.9034209],[0.75135881 1.87927738]]","[[[0.06656311 0.01911483],[0.01911483 0.15022307]]:[[0.29152592 -0.06246732],[-0.06246732 0.39571092]]]"
24,"Clarke, Taylor",6.945808283,10.30922398,8.421852398,[0.65077021 0.34922979],"[[0.41105634 2.18822517],[0.65949617 1.02825081]]","[[[0.25054766 -0.13491412],[-0.13491412 0.36644744]]:[[0.28284229 -0.13734524],[-0.13734524 0.2584171]]]"
91,"Sandoval, Patrick",7.169949548,10.30535008,8.448280286,[0.427942 0.572058],"[[-0.51056388 1.46364893],[-0.28400473 2.57432187]]","[[[0.37632594 0.09969158],[0.09969158 0.33911756]]:[[0.30813458 0.06204862],[0.06204862 0.30059186]]]"
14,"Brown, Hunter",6.628791757,10.7760551,8.469717671,[0.29629634 0.70370366],"[[0.6942765 1.37527705],[0.33881507 2.6796628]]","[[[0.33363097 0.02365543],[0.02365543 0.14769184]]:[[0.31004899 -0.0017375],[-0.0017375 0.32219354]]]"
