,Pitcher,NinetyFive,Five,Median Control,Pis,Mus,Covariances
131,"Snell, Blake",5.259946356883193,9.83643161075372,7.424815648686472,[0.15741936 0.74923098 0.09334966],"[[ 0.24163712  4.0310547 ]
 [-0.17545378  2.63860667]
 [-0.24754294  1.36091443]]","[[[ 0.13096718 -0.03369987]
  [-0.03369987  0.0364608 ]]

 [[ 0.20855942  0.04683469]
  [ 0.04683469  0.30999805]]

 [[ 0.03559452  0.02562126]
  [ 0.02562126  0.0669039 ]]]"
120,"Márquez, Germán",6.146261497220479,10.65514936322951,7.430805077211788,[0.27891167 0.16945261 0.130214   0.42142173],"[[-0.12719577  1.95127729]
 [ 0.77229032  1.78207456]
 [-0.63872771  3.58200184]
 [-0.17168755  2.72489345]]","[[[0.17447508 0.01976748]
  [0.01976748 0.27331417]]

 [[0.09395699 0.02323951]
  [0.02323951 0.30343121]]

 [[0.32288533 0.0488359 ]
  [0.0488359  0.06695862]]

 [[0.31407477 0.05801872]
  [0.05801872 0.23839956]]]"
29,"Richards, Garrett",5.819797925846545,10.249305747347128,7.456738877048217,[0.20890832 0.32110316 0.46998852],"[[-0.52359836  3.57410203]
 [-0.62535255  2.40080552]
 [ 0.21425626  2.66769028]]","[[[ 0.2809017   0.00790692]
  [ 0.00790692  0.14529434]]

 [[ 0.15952568 -0.08521193]
  [-0.08521193  0.3114727 ]]

 [[ 0.13844556 -0.11039005]
  [-0.11039005  0.32920467]]]"
38,"Rodríguez, Richard",5.755331667956852,9.610899711022793,7.491635843003786,[0.55020347 0.44979653],"[[-0.58498558  3.06508275]
 [ 0.25167286  2.4954724 ]]","[[[ 0.14971602 -0.03202729]
  [-0.03202729  0.35483004]]

 [[ 0.17184188  0.08684686]
  [ 0.08684686  0.29428077]]]"
109,"Weathers, Ryan",5.768238121130086,9.375195760810797,7.504944132063098,[0.35018916 0.64981084],"[[-0.77481135  2.26268223]
 [ 0.13451216  2.89406491]]","[[[ 0.16939148  0.00947013]
  [ 0.00947013  0.25229625]]

 [[ 0.20427362 -0.0338409 ]
  [-0.0338409   0.28726015]]]"
56,"Odorizzi, Jake",5.753178139924183,9.355076067614627,7.509625913307069,[0.5406204  0.24271158 0.21666802],"[[ 0.06111572  3.11120294]
 [-0.89168132  3.44447599]
 [-0.48258252  2.54352735]]","[[[ 0.16573402 -0.04656621]
  [-0.04656621  0.36076141]]

 [[ 0.1639326  -0.12150249]
  [-0.12150249  0.25645419]]

 [[ 0.31350804 -0.00710846]
  [-0.00710846  0.13447845]]]"
89,"Ray, Robbie",5.604715579102164,8.933592239815635,7.512563326380899,[0.61106945 0.38893055],"[[-0.3557958   2.2344147 ]
 [-0.09202062  3.15038112]]","[[[0.32837934 0.08684927]
  [0.08684927 0.2356221 ]]

 [[0.26522246 0.07536005]
  [0.07536005 0.14549708]]]"
34,"Hendriks, Liam",5.7858362519928,9.720930722843395,7.543940647244168,[0.09330003 0.34585702 0.56084294],"[[-0.70790755  3.88631948]
 [ 0.33916784  3.19653662]
 [-0.30736262  2.51543278]]","[[[ 0.10722099  0.02173504]
  [ 0.02173504  0.04528014]]

 [[ 0.13361337 -0.02395704]
  [-0.02395704  0.34027075]]

 [[ 0.29263594 -0.05004878]
  [-0.05004878  0.28220688]]]"
24,"Doolittle, Sean",5.470910267253647,10.067136115302404,7.578423593930702,[0.27710545 0.28387613 0.43901842],"[[-0.47467408  2.65347195]
 [-0.16028431  3.590026  ]
 [ 0.27079385  2.41341822]]","[[[ 0.12888196  0.14547404]
  [ 0.14547404  0.26958419]]

 [[ 0.13613011 -0.00091353]
  [-0.00091353  0.28773759]]

 [[ 0.15503014  0.15161842]
  [ 0.15161842  0.4197003 ]]]"
103,"Pineda, Michael",5.787525094787739,8.99336234571333,7.580054502046294,[0.67925782 0.32074218],"[[-0.22858488  2.82710923]
 [-0.26462645  1.95763413]]","[[[ 0.31375634 -0.08283662]
  [-0.08283662  0.21895088]]

 [[ 0.22546531 -0.04134939]
  [-0.04134939  0.0945828 ]]]"
