,Pitcher,Control,Pis,Mus,Covariances
64,"Woo, Bryan",8.562068733,"[0.27054559,0.72945441]","[[-0.80156577,3.36698932],[0.20612677,2.82375548]]","[[[0.07071111,0.05777813],[0.05777813,0.37927902]],[[0.23084179,-0.08698816],[-0.08698816,0.36903154]]]"
88,"Miller, Bryce",8.572258003,"[0.28398445,0.2542194,0.46179614]","[[0.01753791,3.39299881],[-0.58989986,3.09061313],[0.35775323,2.46482627]]","[[[0.32299176,0.05493433],[0.05493433,0.20365005]],[[0.13096673,0.06047891],[0.06047891,0.45841081]],[[0.1757404,0.02021019],[0.02021019,0.29068747]]]"
85,"Berríos, José",8.588460184,"[0.41935644,0.58064356]","[[-0.59212867,3.42738064],[-0.16935636,2.61271684]]","[[[0.30121333,0.00558594],[0.00558594,0.2126543]],[[0.2663594,0.00378762],[0.00378762,0.17151921]]]"
115,"Scherzer, Max",8.597277285,"[0.46830974,0.15544718,0.37624308]","[[0.28414391,3.01230576],[0.27191099,1.89697248],[-0.78241364,2.86760003]]","[[[0.31119498,-0.01574049],[-0.01574049,0.2391637]],[[0.23865885,-0.03034299],[-0.03034299,0.07958638]],[[0.19971264,-0.00116988],[-0.00116988,0.36510122]]]"
69,"Kremer, Dean",8.614179848,"[0.06955157,0.48076405,0.44968438]","[[-1.26011577,4.04427422],[-0.26813174,3.41185601],[-0.17371438,2.39103408]]","[[[0.02319628,0.02101502],[0.02101502,0.12260396]],[[0.22572844,-0.03690954],[-0.03690954,0.30947279]],[[0.26681389,-0.04761078],[-0.04761078,0.2366802]]]"
102,"Peralta, Freddy",8.625396191,"[0.21329927,0.45802468,0.32867605]","[[-0.03865426,3.82387444],[-0.61796122,2.80644478],[0.15820948,2.90268797]]","[[[0.23748414,0.02603649],[0.02603649,0.09867085]],[[0.13223168,-0.01932523],[-0.01932523,0.33343586]],[[0.16007594,-0.09447893],[-0.09447893,0.35487002]]]"
40,"Taillon, Jameson",8.627660337,"[0.36695804,0.31304427,0.3199977]","[[-0.76668292,2.48873964],[0.15870849,3.56551546],[-0.14607786,2.76555526]]","[[[0.14372728,-0.12357992],[-0.12357992,0.31090568]],[[0.18765836,-0.09051889],[-0.09051889,0.28755864]],[[0.22153966,-0.27716808],[-0.27716808,0.45483988]]]"
72,"Gilbert, Logan",8.627905374,"[0.29077017,0.57947957,0.12975026]","[[0.36856581,2.69939064],[-0.47791282,3.00003075],[-0.27150023,1.83191959]]","[[[0.07634667,0.00064628],[0.00064628,0.38693028]],[[0.15462283,-0.02358526],[-0.02358526,0.33444083]],[[0.25315513,0.01808147],[0.01808147,0.06168312]]]"
104,"France, J.P.",8.63146039,"[0.31224281,0.56439491,0.12336228]","[[-0.16217186,3.313695],[-0.1665772,2.36719191],[-0.92532881,3.49751219]]","[[[0.18512528,0.01797474],[0.01797474,0.2718101]],[[0.22091521,-0.04493595],[-0.04493595,0.29420818]],[[0.0381373,0.02491076],[0.02491076,0.15071598]]]"
100,"Gray, Jon",8.701929486,"[0.27473233,0.49038722,0.23488045]","[[0.18391112,3.22239409],[0.28861322,2.23658723],[-0.86267577,3.08570752]]","[[[0.17024621,0.08179648],[0.08179648,0.23001823]],[[0.37411955,-0.00550455],[-0.00550455,0.25017256]],[[0.11587266,0.03029652],[0.03029652,0.49026034]]]"
101,"Kikuchi, Yusei",8.726339153,"[0.1461332,0.68135213,0.17251467]","[[-0.80822272,2.59863864],[0.19342598,2.82734741],[-0.53810098,1.60235844]]","[[[0.0990484,0.01560759],[0.01560759,0.09953572]],[[0.23241457,0.00850938],[0.00850938,0.42787287]],[[0.09989461,0.01060887],[0.01060887,0.07286237]]]"
55,"Pivetta, Nick",8.736488846,"[0.45339338,0.50809441,0.03851221]","[[-0.62525085,3.40978061],[0.09482473,2.49190221],[0.61693722,3.89790048]]","[[[0.18768418,0.02410662],[0.02410662,0.37251507]],[[0.21668475,0.02884852],[0.02884852,0.23490516]],[[0.04474871,0.00718118],[0.00718118,0.14621139]]]"
14,"Brown, Hunter",8.778185803,"[0.45628086,0.41306141,0.13065773]","[[-0.34840596,3.3630247],[-0.10229232,2.17543229],[0.67822461,2.87227138]]","[[[0.23539538,-0.00088693],[-0.00088693,0.3119278]],[[0.21100822,-0.03847261],[-0.03847261,0.22157532]],[[0.01674287,0.02269015],[0.02269015,0.53376909]]]"
23,"Mikolas, Miles",8.797694611,"[0.7834357,0.14499572,0.07156859]","[[-0.19061661,2.6303565],[0.19150683,3.67375313],[1.00784,2.53303171]]","[[[0.20358418,-0.04252078],[-0.04252078,0.30524879]],[[0.25508403,-0.10462888],[-0.10462888,0.11995222]],[[0.00337144,0.00300156],[0.00300156,0.21333995]]]"
119,"Severino, Luis",8.830265398,"[0.60195539,0.30326501,0.0947796]","[[0.07838199,3.36269567],[0.19455731,2.29836545],[-0.55956886,2.36090649]]","[[[0.32373489,-0.04887188],[-0.04887188,0.23043179]],[[0.16868595,-0.06568959],[-0.06568959,0.12716145]],[[0.12685149,0.15448321],[0.15448321,0.27153773]]]"
68,"Weaver, Luke",8.84991611,"[0.18546507,0.32707179,0.48746314]","[[0.76971591,3.26016578],[0.04071504,2.27985232],[-0.51183231,3.09522727]]","[[[0.09810737,-0.02610384],[-0.02610384,0.21865585]],[[0.27037015,-0.02316464],[-0.02316464,0.18878439]],[[0.21273433,0.08421957],[0.08421957,0.51708068]]]"
6,"Bednar, David",8.902194291,"[0.27510888,0.72489112]","[[-0.52822127,3.92005467],[0.07083174,2.85835459]]","[[[0.17280366,-0.0035629],[-0.0035629,0.12934977]],[[0.25882407,0.01539436],[0.01539436,0.36548322]]]"
7,"Stephan, Trevor",8.9399581,"[0.30169492,0.69830508]","[[0.23872302,3.2622916],[-0.67245762,2.8958697]]","[[[0.15573882,-0.14833164],[-0.14833164,0.44490801]],[[0.24164858,-0.12831449],[-0.12831449,0.30660881]]]"
62,"Lynn, Lance",8.943023328,"[0.27806937,0.34721861,0.37471202]","[[-0.90759899,3.0528609],[-0.14887148,2.67070756],[0.08627423,3.39461539]]","[[[0.23348809,-0.08768231],[-0.08768231,0.46118603]],[[0.24644269,-0.1674742],[-0.1674742,0.24320451]],[[0.31823685,-0.17465646],[-0.17465646,0.29485742]]]"
