,Pitcher,NinetyFive,Five,"Median,Control",Pis,Mus,Covariances
2,"Williams, Trevor",5.380312645,9.278310617,7.305093501,"[0.19491545,0.46749736,0.33758719]","[[0.73180827,2.89363977],[0.35294049,2.26728289],[-0.40790228,2.90803206]]","[[[0.19781102,-0.23873756],[-0.23873756,0.39126665]],[[0.19789129,-0.04438703],[-0.04438703,0.21436973]],[[0.19660297,0.07516783],[0.07516783,0.29432904]]]"
156,"Kelly, Merrill",5.265220353,9.4310329,7.30678601,"[0.5115224,0.4884776]","[[0.88808607,1.88131999],[0.03224621,2.64090989]]","[[[0.18670146,-0.04363143],[-0.04363143,0.22997564]],[[0.18622622,0.00678449],[0.00678449,0.3457637]]]"
188,"Snell, Blake",6.257948198,11.30327389,7.30701625,"[0.20333078,0.20800947,0.16786744,0.42079231]","[[0.82171932,2.5652522],[0.46506804,3.75340176],[0.20233294,1.46546508],[-0.19513208,2.68288496]]","[[[0.18060271,0.11574889],[0.11574889,0.18079926]],[[0.28160963,0.0073736],[0.0073736,0.17045217]],[[0.38099307,0.03937488],[0.03937488,0.12106748]],[[0.19170923,0.0469184],[0.0469184,0.31065589]]]"
193,"Paddack, Chris",5.365670983,9.19353534,7.371936219,"[0.27133776,0.50349429,0.22516796]","[[-0.07016568,2.35681234],[0.32033638,3.26474976],[0.55292931,2.28883004]]","[[[0.20344352,-0.0441848],[-0.0441848,0.23185202]],[[0.31177561,-0.10437861],[-0.10437861,0.22795444]],[[0.21355688,-0.11801594],[-0.11801594,0.15926551]]]"
15,"Irvin, Cole",6.1343098,10.11173802,7.390992893,"[0.12677052,0.09190796,0.55224623,0.22907529]","[[-1.07970644,2.58491583],[1.04002759,2.53535602],[-0.06777427,2.35724223],[0.12688438,3.40157545]]","[[[0.09659502,-0.02237019],[-0.02237019,0.42757227]],[[0.06482836,-0.0344948],[-0.0344948,0.19466506]],[[0.31477258,0.01398677],[0.01398677,0.1936178]],[[0.44099537,0.03464168],[0.03464168,0.11956172]]]"
113,"DeSclafani, Anthony",5.671634735,10.1113917,7.405793283,"[0.25470601,0.47771754,0.26757645]","[[0.35169191,2.19425677],[-0.25924667,3.09493591],[0.94598158,2.69730343]]","[[[0.02910603,-0.00464706],[-0.00464706,0.16886223]],[[0.17774727,0.00783056],[0.00783056,0.34380999]],[[0.05197315,0.067612],[0.067612,0.53587418]]]"
162,"Rogers, Trevor",6.134678823,10.03278633,7.413116233,"[0.20628805,0.37168989,0.42202206]","[[0.740555,2.84821588],[-0.38856074,2.05034816],[-0.22432153,2.95738132]]","[[[0.12494025,-0.01313639],[-0.01313639,0.36081145]],[[0.33265533,0.0172394],[0.0172394,0.14900385]],[[0.26866528,-0.01350106],[-0.01350106,0.20398132]]]"
198,"Boyd, Matthew",5.76126145,10.90368142,7.442436264,"[0.20007558,0.40793521,0.39198921]","[[0.42426279,2.24734146],[0.38079375,3.36698583],[-0.72936842,2.53988025]]","[[[0.19150393,0.03626032],[0.03626032,0.07809326]],[[0.43006392,-0.02672682],[-0.02672682,0.13607601]],[[0.29337803,0.08208812],[0.08208812,0.23892991]]]"
12,"Kennedy, Ian",5.592587614,9.45577626,7.459890912,"[0.78195002,0.10207018,0.1159798]","[[0.13519245,3.10807343],[0.14239697,2.03971093],[1.06721561,2.30910211]]","[[[0.2453653,-0.03380655],[-0.03380655,0.33345359]],[[0.23176878,0.06488674],[0.06488674,0.06540658]],[[0.05250019,0.04672596],[0.04672596,0.23257693]]]"
129,"Velasquez, Vince",5.936575637,10.09889495,7.483566935,"[0.18483307,0.36800086,0.44716607]","[[1.06801661,2.35837233],[-0.07612712,3.13497909],[0.20474331,2.12941227]]","[[[0.08334848,-0.02113584],[-0.02113584,0.4101988]],[[0.2797965,0.00531285],[0.00531285,0.18981437]],[[0.24348108,-0.13454275],[-0.13454275,0.32670364]]]"
27,"Wacha, Michael",5.932844426,9.711328209,7.507577567,"[0.4738271,0.5261729]","[[-0.05186061,3.39252074],[0.25341359,2.29191546]]","[[[0.2650592,0.07284317],[0.07284317,0.27420665]],[[0.20102976,0.0338146],[0.0338146,0.26600395]]]"
182,"Akin, Keegan",6.071589238,10.43435694,7.527089217,"[0.3731653,0.33203713,0.29479757]","[[-0.42529085,2.03827518],[0.53189929,2.88337885],[-0.36800396,3.10026909]]","[[[0.26086822,0.03275546],[0.03275546,0.22692082]],[[0.16336172,-0.06361022],[-0.06361022,0.4849932]],[[0.17606072,-0.01176539],[-0.01176539,0.16935997]]]"
108,"Suárez, Ranger",6.230583495,10.16633888,7.533977317,"[0.37380681,0.16279962,0.46339357]","[[-0.2433767,3.42865045],[0.79919259,2.98822822],[-0.57707553,2.4974522]]","[[[0.23838918,-0.01929186],[-0.01929186,0.22388056]],[[0.09566603,-0.00929621],[-0.00929621,0.68681939]],[[0.18198211,0.05562737],[0.05562737,0.23975597]]]"
118,"Bednar, David",5.7848845,9.481948166,7.539659843,"[0.29519455,0.70480545]","[[0.16889861,3.7922742],[0.25229156,2.62197631]]","[[[0.19508212,-0.10006764],[-0.10006764,0.21744893]],[[0.25493688,-0.05269567],[-0.05269567,0.26067349]]]"
104,"Lauer, Eric",6.386956211,10.75308256,7.551097803,"[0.3131802,0.13100547,0.37289633,0.04807983,0.13483817]","[[-0.0104346,3.30121256],[-0.31038862,2.23364694],[0.14504513,2.31983706],[0.26257164,4.03596596],[1.13350785,3.39919537]]","[[[0.28978656,-0.02280924],[-0.02280924,0.22473317]],[[0.27893725,0.20226741],[0.20226741,0.35526999]],[[0.33889085,-0.07559083],[-0.07559083,0.15693812]],[[0.04715849,0.02566982],[0.02566982,0.0200729]],[[0.06693285,0.01322539],[0.01322539,0.1966271]]]"
48,"Giolito, Lucas",6.061371948,11.07651684,7.557075769,"[0.33565568,0.13933161,0.52501271]","[[-0.15827443,3.74570627],[0.58189766,2.93794137],[0.051223,2.11486072]]","[[[0.21435194,0.06805653],[0.06805653,0.26184487]],[[0.15304242,-0.02380021],[-0.02380021,0.09776803]],[[0.22028533,-0.11587267],[-0.11587267,0.38953857]]]"
