,Pitcher,NinetyFive,Five,"Median,Control",Pis,Mus,Covariances
142,"Espino, Paolo",6.424519608,11.11233743,8.943416445,"[0.37715252,0.62284748]","[[0.67026991,1.80202035],[-0.04889139,2.867848]]","[[[0.18557129,-0.02924432],[-0.02924432,0.36497392]],[[0.33725984,0.01832031],[0.01832031,0.47976177]]]"
81,"Maton, Phil",5.948383088,10.26419396,8.973715433,"[0.86192288,0.13807712]","[[0.09724389,3.21466746],[1.32989825,2.84332932]]","[[[0.29225651,-0.17214442],[-0.17214442,0.40345635]],[[0.0329949,-0.05097212],[-0.05097212,0.54899079]]]"
7,"Foster, Matt",6.710804858,10.29697027,8.98842428,"[0.39566412,0.60433588]","[[-0.0882965,2.9380918],[0.83925816,2.70371852]]","[[[0.14749867,-0.01432374],[-0.01432374,0.58618789]],[[0.14317819,-0.06543156],[-0.06543156,0.51829755]]]"
54,"Jax, Griffin",7.000437446,10.75918603,8.997620792,"[0.38220751,0.40452501,0.21326747]","[[2.18832232e-01,2.04840147e+00],[2.34380857e-03,3.15642583e+00],[1.10179265e-01,2.53240866e+00]]","[[[0.31945822,0.04654125],[0.04654125,0.21602805]],[[0.40685762,0.0130049],[0.0130049,0.28683497]],[[0.56242157,-0.44753524],[-0.44753524,0.42739272]]]"
31,"Doolittle, Sean",6.702386836,10.94751759,9.007932256,"[0.54783309,0.45216691]","[[0.32236653,3.24561272],[-0.30028486,2.33490027]]","[[[0.31645372,-0.11543834],[-0.11543834,0.42751805]],[[0.30113812,-0.15783951],[-0.15783951,0.44079109]]]"
127,"Wells, Alex",6.393331695,10.75765188,9.050654496,"[0.27255099,0.72744901]","[[0.09595902,4.02671801],[-0.31633181,2.7753658]]","[[[0.38714588,-0.0568816],[-0.0568816,0.11900411]],[[0.44505525,0.00629178],[0.00629178,0.27582852]]]"
137,"Chapman, Aroldis",6.852889384,12.25345958,9.059480852,"[0.21967134,0.51254605,0.26778261]","[[-0.60602192,1.43176495],[0.47548847,2.59879913],[-0.54274088,2.99595694]]","[[[0.10887371,0.01384998],[0.01384998,0.32107549]],[[0.26067114,0.27532117],[0.27532117,0.72890548]],[[0.30330379,0.1805385],[0.1805385,0.25498984]]]"
105,"Vesia, Alex",6.938086727,10.90653902,9.083666483,"[0.14727906,0.57867815,0.2740428]","[[-0.95123423,2.25079831],[0.29126201,3.2724406],[0.12577734,2.80918219]]","[[[0.12387454,-0.03734048],[-0.03734048,0.19777387]],[[0.24453922,0.14751903],[0.14751903,0.42196195]],[[0.46338884,-0.25743659],[-0.25743659,0.45749339]]]"
161,"Hearn, Taylor",6.769238973,10.88801101,9.1093489,"[0.59427333,0.40572667]","[[-0.60780086,2.44248956],[0.38404351,2.88732053]]","[[[0.21622876,0.00453012],[0.00453012,0.48806597]],[[0.22683889,0.02488227],[0.02488227,0.46924793]]]"
68,"García, Jarlín",5.830444522,9.19035174,9.127229712,[1],"[[0.16214592,2.62034335]]","[[[0.3712127,0.16217222],[0.16217222,0.36024208]]]"
60,"Feyereisen, J.P.",6.478068435,9.969234492,9.13803156,"[0.89715641,0.10284359]","[[0.61133981,2.67208713],[0.49715922,3.9959871]]","[[[0.33418082,-0.06984111],[-0.06984111,0.4365438]],[[0.37191991,-0.07106402],[-0.07106402,0.02401166]]]"
13,"Taylor, Blake",6.572273642,11.17969179,9.152465179,"[0.62328468,0.37671532]","[[-0.06818456,3.30078459],[-0.89790148,2.34550207]]","[[[0.35552718,-0.09378028],[-0.09378028,0.51843276]],[[0.26134056,0.03775133],[0.03775133,0.26987298]]]"
209,"Bauer, Trevor",5.583782699,11.41645168,9.164481121,"[0.86491583,0.13508417]","[[0.30041343,2.36934575],[-0.21810077,4.02501164]]","[[[0.24519034,-0.20788897],[-0.20788897,0.56192671]],[[0.13446989,-0.0068349],[-0.0068349,0.11245514]]]"
175,"Ohtani, Shohei",6.420766869,11.18822542,9.165134287,"[0.16926304,0.69300987,0.13772709]","[[0.54569286,1.5199559],[-0.04903484,2.76055201],[0.58173302,2.33783996]]","[[[0.31844029,0.00515988],[0.00515988,0.12112316]],[[0.42767661,-0.12695393],[-0.12695393,0.47457582]],[[0.04030721,0.06433516],[0.06433516,0.11729254]]]"
18,"Norris, Daniel",6.774492371,11.27641923,9.177403946,"[0.78069959,0.11466835,0.10463205]","[[0.1647379,2.53481906],[0.60353724,4.03843258],[1.51780785,3.14263843]]","[[[0.34464111,0.0671224],[0.0671224,0.43878702]],[[0.12531702,-0.04000864],[-0.04000864,0.10463108]],[[0.06169911,0.08426734],[0.08426734,0.58348125]]]"
9,"Jiménez, Joe",6.525991296,10.38094808,9.195717314,"[0.89178111,0.10821889]","[[0.29423521,2.59617981],[-0.40892035,3.76363633]]","[[[0.34864839,-0.11149472],[-0.11149472,0.40414806]],[[0.06117311,-0.04009752],[-0.04009752,0.06640278]]]"
163,"Estévez, Carlos",6.429175127,11.19785119,9.228441113,"[0.78854389,0.21145611]","[[-0.09966833,2.95735655],[0.71158915,1.89716002]]","[[[0.42436438,-0.07952867],[-0.07952867,0.38472053]],[[0.23467762,0.04484718],[0.04484718,0.13596281]]]"
195,"Bowden, Ben",6.951581913,10.90864899,9.257726498,"[0.27157433,0.72842567]","[[0.89474241,2.4658389],[-0.19154207,2.52339351]]","[[[0.11767782,0.0640554],[0.0640554,0.36610456]],[[0.2451786,0.01278542],[0.01278542,0.47821814]]]"
131,"Steele, Justin",6.414491748,10.67346579,9.264268517,"[0.61744524,0.38255476]","[[-0.05373756,3.13995973],[-0.15603249,2.12043446]]","[[[0.32718583,0.14318236],[0.14318236,0.39648835]],[[0.38961175,0.11402026],[0.11402026,0.32130549]]]"
201,"Fry, Paul",6.656924005,11.23868404,9.281111808,"[0.73164381,0.19092972,0.07742647]","[[0.30815424,2.31364301],[0.43755469,3.53623168],[-1.13039815,2.36352682]]","[[[0.50789367,0.03027423],[0.03027423,0.25980434]],[[0.20905893,-0.0059809],[-0.0059809,0.0787821]],[[0.0297205,-0.10101547],[-0.10101547,0.47174789]]]"
173,"Heuer, Codi",6.758004573,10.40246978,9.289214681,"[0.24004028,0.75995972]","[[-0.42146838,3.02489989],[0.48583215,2.37408996]]","[[[0.15308963,-0.05686311],[-0.05686311,0.2360646]],[[0.41008132,0.00097444],[0.00097444,0.46365327]]]"
99,"Ynoa, Huascar",6.67390453,10.69456012,9.295058864,"[0.8125128,0.1874872]","[[0.48041166,2.32005478],[0.41674837,3.62050179]]","[[[0.32308385,-0.05817783],[-0.05817783,0.5178115]],[[0.33678477,-0.00771753],[-0.00771753,0.11692079]]]"
168,"Darvish, Yu",6.962375166,12.18604221,9.375966544,"[0.38312671,0.61687329]","[[0.7036964,1.72204187],[-0.01976652,2.92442549]]","[[[0.25911767,0.08048917],[0.08048917,0.35457733]],[[0.30668988,-0.06899928],[-0.06899928,0.53654939]]]"
90,"Fairbanks, Pete",6.577738483,11.78173873,9.391011545,"[0.40532277,0.59467723]","[[0.08439173,3.42520644],[0.35053951,2.22539022]]","[[[0.42576913,0.07405845],[0.07405845,0.38153105]],[[0.25596209,0.01464889],[0.01464889,0.37442062]]]"
117,"Barnes, Matt",6.288397253,10.7252133,9.39596714,"[0.75681021,0.24318979]","[[0.06588594,3.03077366],[0.72778547,2.05019808]]","[[[0.29795862,-0.03901894],[-0.03901894,0.59688901]],[[0.18348726,-0.1617408],[-0.1617408,0.4025674]]]"
3,"Matzek, Tyler",7.33288117,11.83278698,9.450501222,"[0.45153284,0.54846716]","[[0.00714618,2.02571241],[0.18038869,3.37443815]]","[[[0.3536352,0.02035097],[0.02035097,0.26323707]],[[0.35935442,0.04791295],[0.04791295,0.43433301]]]"
133,"Allen, Logan",6.889674195,11.20458829,9.478791403,"[0.60110091,0.39889909]","[[-0.57885459,2.65753173],[0.29351754,3.42694209]]","[[[0.19655343,-0.03705991],[-0.03705991,0.53990955]],[[0.32233967,-0.13227227],[-0.13227227,0.48772992]]]"
115,"Cabrera, Génesis",7.564605218,11.53295196,9.534819578,"[0.47717664,0.52282336]","[[-0.36657261,2.82365421],[0.77502958,2.82968742]]","[[[0.30638843,0.09685253],[0.09685253,0.58113498]],[[0.20870174,0.0531352],[0.0531352,0.52532497]]]"
122,"Karinchak, James",6.807706926,11.58972419,9.555665875,"[0.8188029,0.1811971]","[[0.41810813,2.82944623],[-0.21991605,4.19884282]]","[[[0.34234458,0.05206215],[0.05206215,0.5251023]],[[0.33962132,0.17853416],[0.17853416,0.20586877]]]"
130,"Brothers, Rex",6.871405951,11.30617007,9.621826125,"[0.41915832,0.58084168]","[[0.45499011,1.68938881],[0.47382506,2.7808795]]","[[[0.44828512,0.05934535],[0.05934535,0.22266662]],[[0.38219445,0.09950928],[0.09950928,0.40704226]]]"
96,"Díaz, Edwin",6.708761621,11.24011132,9.650514857,"[0.21640776,0.78359224]","[[-0.85998672,2.97832078],[0.40991071,2.84362686]]","[[[0.1150033,-0.13447957],[-0.13447957,0.41586026]],[[0.51931909,-0.18673311],[-0.18673311,0.39939211]]]"
92,"Guerra, Deolis",7.928865204,9.723216303,9.652112807,[1],"[[0.39944954,2.30192661]]","[[[0.33290987,-0.07369802],[-0.07369802,0.48070463]]]"
6,"Gilbreath, Lucas",6.64990361,11.18616369,9.678745101,"[0.67606684,0.32393316]","[[-0.44768664,2.58525601],[0.47234426,3.21810384]]","[[[0.28043238,-0.08390696],[-0.08390696,0.38684517]],[[0.32236633,-0.14046216],[-0.14046216,0.5911683]]]"
50,"Zimmer, Kyle",7.118009732,11.96186862,9.754435191,"[0.31043344,0.68956656]","[[0.42190795,1.74179817],[-0.06846804,3.00598599]]","[[[0.20250264,0.07843386],[0.07843386,0.39416336]],[[0.32182347,0.03926307],[0.03926307,0.55159351]]]"
87,"Voth, Austin",6.307968475,9.898193256,9.834561599,[1],"[[0.32688462,2.54026923]]","[[[0.34803937,-0.05019262],[-0.05019262,0.60107362]]]"
160,"Berríos, José",5.77676208,9.884811451,9.843128704,[1],"[[0.1705298,2.46215232]]","[[[0.46244377,-0.0878316],[-0.0878316,0.38164041]]]"
75,"Hentges, Sam",7.25993593,11.63464764,9.84522101,"[0.38215331,0.61784669]","[[0.57303175,2.71916783],[-0.54861139,2.60776666]]","[[[0.2359227,0.08763201],[0.08763201,0.52821778]],[[0.23803662,0.07094971],[0.07094971,0.62760034]]]"
202,"Keller, Brad",6.135534791,9.905431828,9.864304407,[1],"[[0.57600719,2.70136691]]","[[[0.34326024,-0.09764382],[-0.09764382,0.50628187]]]"
186,"Quintana, Jose",6.197942689,9.958949982,9.920864452,[1],"[[-0.12664671,2.95982036]]","[[[0.27804964,0.10676976],[0.10676976,0.57695127]]]"
125,"Howard, Spencer",6.744879798,9.961569132,9.933924575,[1],"[[0.31501859,2.5797026]]","[[[0.41438511,-0.16139888],[-0.16139888,0.42461058]]]"
203,"Plutko, Adam",5.891793416,10.00317856,9.95637866,[1],"[[0.51480427,3.14793594]]","[[[0.27522169,-0.15870076],[-0.15870076,0.64442236]]]"
187,"Ponce, de, Leon, Daniel",7.08984017,11.66864788,9.966127265,"[0.60425394,0.39574606]","[[0.11010038,2.56022722],[0.39438097,3.62229709]]","[[[0.48798863,-0.16045817],[-0.16045817,0.45985273]],[[0.39046475,-0.16774254],[-0.16774254,0.33522878]]]"
181,"Newcomb, Sean",7.344313218,10.7831327,9.991165273,"[0.0541886,0.09156805,0.85424335]","[[1.23348968,1.74367286],[-0.88279086,3.09697642],[0.24808373,2.81753746]]","[[[0.25830867,0.09992095],[0.09992095,0.04092174]],[[0.05459831,-0.06405075],[-0.06405075,0.76131359]],[[0.45226723,0.10026371],[0.10026371,0.36706001]]]"
177,"Wells, Tyler",6.66496976,10.03605802,9.999653266,[1],"[[0.16484848,2.87434343]]","[[[0.33162261,-0.05800389],[-0.05800389,0.561169]]]"
10,"Kopech, Michael",6.789800778,10.03915293,10.00374148,[1],"[[0.10466667,2.83]]","[[[0.38717033,-0.03857972],[-0.03857972,0.51106378]]]"
52,"Thielbar, Caleb",6.233073844,10.0948185,10.06250238,[1],"[[0.05672619,2.7775]]","[[[0.2657129,0.06562991],[0.06562991,0.62079356]]]"
17,"Staumont, Josh",6.806886049,11.04992673,10.06762696,"[0.09572253,0.90427747]","[[-0.14663547,3.96105887],[0.13786318,2.47037521]]","[[[0.51739995,-0.04443637],[-0.04443637,0.01578304]],[[0.37583005,0.03076002],[0.03076002,0.47617938]]]"
119,"Castillo, Luis",6.940029866,10.12626574,10.06965631,[1],"[[0.27134454,2.85798319]]","[[[0.47570928,-0.12734393],[-0.12734393,0.46574651]]]"
41,"Sawamura, Hirokazu",7.620185972,12.20125904,10.09761386,"[0.69133788,0.30866212]","[[-0.20068615,1.97806049],[-0.44113699,3.33040796]]","[[[0.34483521,-0.19360043],[-0.19360043,0.61910965]],[[0.39264646,0.08971172],[0.08971172,0.31896783]]]"
121,"Sborz, Josh",7.261266523,11.79686043,10.10620773,"[0.84038872,0.15961128]","[[0.35413944,2.90433759],[0.64187956,1.2678475]]","[[[0.23218291,-0.02926756],[-0.02926756,0.70594696]],[[0.31258994,-0.12532457],[-0.12532457,0.21209284]]]"
102,"Crochet, Garrett",5.86422492,10.18441618,10.15413136,[1],"[[0.10641509,2.6977673]]","[[[0.35457809,0.09290583],[0.09290583,0.5182762]]]"
8,"López, Reynaldo",6.625616873,10.19821268,10.15949009,[1],"[[-0.0626506,2.73008032]]","[[[0.29162771,-0.12836445],[-0.12836445,0.59018814]]]"
61,"Montgomery, Jordan",6.57788931,10.20762166,10.16875744,[1],"[[-0.08371711,3.43740132]]","[[[0.32717435,0.12118277],[0.12118277,0.46510839]]]"
205,"Sandoval, Patrick",7.242636624,12.51091515,10.18257134,"[0.30885641,0.69114359]","[[-0.07595277,1.68723325],[-0.18888858,3.17654986]]","[[[0.4995997,0.11367716],[0.11367716,0.19473317]],[[0.48977808,0.12384309],[0.12384309,0.51412462]]]"
49,"Manning, Matt",6.940123968,10.26207671,10.20940144,[1],"[[0.20230453,2.70604938]]","[[[0.40551585,-0.04108472],[-0.04108472,0.4512751]]]"
44,"González, Chi, Chi",7.162423406,10.35162423,10.31856973,[1],"[[-0.01034483,2.30808777]]","[[[0.49146326,-0.21186555],[-0.21186555,0.42894499]]]"
199,"López, Jorge",6.583222908,10.65371292,10.61374519,[1],"[[0.14553957,2.53266187]]","[[[0.3877329,-0.12896043],[-0.12896043,0.56289967]]]"
111,"Romano, Jordan",6.612525112,10.87646222,10.8463259,[1],"[[-0.1269637,2.95970297]]","[[[0.37322874,-0.14367237],[-0.14367237,0.58172071]]]"
191,"Scott, Tanner",8.326632637,13.37108171,11.07280241,"[0.28498619,0.20229835,0.51271547]","[[0.19044957,2.66944156],[-0.27418974,3.36166683],[-0.7143929,1.98690529]]","[[[0.1933285,-0.10959827],[-0.10959827,0.91224919]],[[0.85191646,0.51891558],[0.51891558,0.42686763]],[[0.39051434,0.34208822],[0.34208822,0.67033149]]]"
206,"Oviedo, Johan",6.778763292,11.63858561,11.5758247,[1],"[[-0.07029197,2.5029927]]","[[[0.54807902,-0.22316993],[-0.22316993,0.59585993]]]"
