Pitcher,Control,Year,Z
"Stripling, Ross",8.075460988,2022,0.084424152
"Akin, Keegan",8.081253931,2022,0.077220827
"May, Trevor",8.083255385,2021,0.074732088
"Bieber, Shane",8.085726378,2023,0.071659494
"Garcia, Luis",8.089015152,2021,0.067570017
"Hoffman, Jeff",8.092008569,2021,0.063847806
"Richards, Trevor",8.100086146,2021,0.053803618
"deGrom, Jacob",8.117847852,2021,0.03171755
"Waldichuk, Ken",8.118079677,2023,0.031429283
"Giolito, Lucas",8.120915138,2023,0.027903485
"Lynn, Lance",8.121751384,2020,0.026863642
"Pagán, Emilio",8.129565725,2021,0.017146779
"Cease, Dylan",8.147750084,2023,-0.005464843
"Wacha, Michael",8.156854389,2021,-0.016785732
"Ohtani, Shohei",8.165121667,2023,-0.027065807
"Espino, Paolo",8.168694635,2021,-0.031508669
"López, Reynaldo",8.182125189,2023,-0.0482091
"Walker, Taijuan",8.191321748,2021,-0.059644703
"Kaprielian, James",8.20694032,2022,-0.079065858
"Morton, Charlie",8.210844713,2022,-0.083920836
"Espino, Paolo",8.223781303,2022,-0.100007039
"Rodón, Carlos",8.224344862,2021,-0.100707805
"Stephan, Trevor",8.225481756,2023,-0.102121494
"De Los Santos, Enyel",8.229620123,2023,-0.10726741
"Cease, Dylan",8.246157116,2021,-0.12783059
"Thompson, Keegan",8.248058396,2022,-0.130194766
"Keller, Mitch",8.255661988,2021,-0.13964957
"Cease, Dylan",8.258072723,2022,-0.142647236
"Brown, Hunter",8.260422849,2023,-0.145569536
"Wick, Rowan",8.266422839,2022,-0.153030317
"Flexen, Chris",8.269365919,2022,-0.156689935
"Bradish, Kyle",8.269639386,2022,-0.157029982
"Musgrove, Joe",8.272567658,2021,-0.160671187
"Adon, Joan",8.277943401,2022,-0.167355738
"White, Mitch",8.286332835,2022,-0.177787709
"Doolittle, Sean",8.293177925,2021,-0.186299342
"Eovaldi, Nathan",8.302277426,2021,-0.197614258
"Paddack, Chris",8.310286374,2020,-0.207573108
"Finnegan, Kyle",8.31507849,2021,-0.213531939
"Voth, Austin",8.318788243,2020,-0.218144888
"Stripling, Ross",8.319724768,2021,-0.219309425
"Ruiz, José",8.321331298,2021,-0.22130709
"Castillo, Luis",8.329673556,2022,-0.231680399
"Kopech, Michael",8.331167913,2023,-0.233538581
"Hendriks, Liam",8.344818798,2022,-0.250512985
"Akin, Keegan",8.34863965,2021,-0.255264082
"Kimbrel, Craig",8.365599247,2023,-0.276352756
"Finnegan, Kyle",8.373741622,2023,-0.286477518
"Snell, Blake",8.391669649,2023,-0.3087704
"Jiménez, Joe",8.391746178,2023,-0.308865562
"Eovaldi, Nathan",8.392433363,2023,-0.309720052
"Morton, Charlie",8.400985106,2021,-0.32035385
"Lambert, Peter",8.402952678,2023,-0.322800457
"Sulser, Cole",8.453490381,2021,-0.385642346
"Gutierrez, Vladimir",8.467918741,2021,-0.403583514
"Gray, Josiah",8.487610365,2022,-0.428069368
"Weaver, Luke",8.491645602,2023,-0.433087046
"Wittgren, Nick",8.494607813,2021,-0.436770453
"Hernández, Carlos",8.511735176,2021,-0.458067738
"Gallegos, Giovanny",8.525602885,2021,-0.475311755
"Foltynewicz, Mike",8.527195761,2021,-0.477292441
"McGough, Scott",8.537083692,2023,-0.489587742
"Richards, Trevor",8.538519809,2022,-0.491373504
"Boxberger, Brad",8.545324421,2021,-0.499834804
"Hudson, Daniel",8.554356373,2021,-0.511065724
"Scholtens, Jesse",8.560695297,2023,-0.518947958
"Glasnow, Tyler",8.588353599,2021,-0.553340101
"Brieske, Beau",8.595208637,2022,-0.561864104
"Fujinami, Shintaro",8.602207561,2023,-0.570567025
"Hernández, Carlos",8.620522427,2023,-0.593340928
"Canning, Griffin",8.621930104,2023,-0.595091326
"Bradley, Taj",8.63255152,2023,-0.60829869
"Estévez, Carlos",8.63536016,2023,-0.611791137
"Bibee, Tanner",8.646095115,2023,-0.625139683
"Finnegan, Kyle",8.647188809,2022,-0.626499653
"Velasquez, Vince",8.665636054,2021,-0.649438166
"Kopech, Michael",8.695875654,2021,-0.687040064
"Anderson, Ian",8.708010202,2022,-0.702128956
"Matzek, Tyler",8.717896064,2021,-0.714421684
"Crawford, Kutter",8.725119118,2023,-0.723403302
"Stratton, Chris",8.759443715,2021,-0.766084753
"Keller, Mitch",8.804653797,2022,-0.822301929
"Richards, Trevor",8.813545836,2023,-0.833358872
"Kopech, Michael",8.8324998,2022,-0.856927472
"Hembree, Heath",8.840684302,2021,-0.867104618
"Bauer, Trevor",8.844461249,2021,-0.871801121
"Coleman, Dylan",8.849366489,2022,-0.877900618
"Velasquez, Vince",8.860808544,2022,-0.892128418
"Castillo, Luis",8.866523766,2021,-0.899235099
"Widener, Taylor",8.874388414,2021,-0.909014517
"Watkins, Spenser",8.886491499,2022,-0.924064286
"Crowe, Wil",8.8917182,2021,-0.930563508
"Smith, Drew",8.894425226,2023,-0.933929601
"Jax, Griffin",8.89637951,2021,-0.936359686
"Senga, Kodai",8.905930997,2023,-0.94823663
"Flaherty, Jack",8.909001967,2023,-0.952055275
